id,code,name,keywords
TCM001256,A16.02.09,脑瘤,
TCM001257,A16.02.10,眼瘤,眼科瘤病
TCM001258,A16.02.11,鼻息肉,鼻痔
TCM001259,A16.02.12,鼻血瘤,
TCM001260,A16.02.13,耳痔,耳挺
TCM001261,A16.02.14,喉息肉,
TCM001262,A16.02.15,喉瘤,
TCM001263,A16.02.16,气管肿瘤,
TCM001264,A16.02.17,纵膈肿瘤,
TCM001265,A16.02.18,心脏肿瘤,
TCM001266,A16.02.19,肝瘤,
TCM001267,A16.02.20,胆道肿瘤,
TCM001268,A16.02.21,肠瘤,肠息肉
TCM001269,A16.02.22,石瘕,
TCM001270,A16.02.23,肠覃,
TCM001271,A16.02.24,阴户囊肿,
TCM001272,A16.02.25,宫颈息肉,
TCM001273,A16.02.26,骨瘤,
TCM001276,A16.03.02,翻花疮,
TCM001277,A16.03.03,石疽,
TCM001278,A16.03.03.01,上石疽,
TCM001279,A16.03.03.02,中石疽,
TCM001280,A16.03.03.03,下石疽,
TCM001281,A16.03.04,恶核,
TCM001282,A16.03.05,失荣,恶性淋巴瘤
TCM001283,A16.03.06,骨髓癌,
TCM001284,A16.03.07,眼科癌病,
TCM001285,A16.03.08,耳菌,耳蕈
TCM001286,A16.03.09,鼻岩,鼻菌|鼻蕈
TCM001287,A16.03.10,颃颡岩,颃颡癌|控脑砂|鼻咽癌
TCM001288,A16.03.11,咽喉菌,咽菌|喉菌|喉岩
TCM001289,A16.03.12,牙岩,牙癌
TCM001290,A16.03.13,唇岩,唇菌|唇癌
TCM001291,A16.03.14,舌岩,舌菌|舌疳|舌癌
TCM001292,A16.03.15,腮岩,腮癌
TCM001293,A16.03.16,石瘿,甲状腺癌
TCM001294,A16.03.17,食管癌,
TCM001295,A16.03.18,乳疳,
TCM001296,A16.03.19,乳癌,乳岩
TCM001297,A16.03.20,肺癌,
TCM001298,A16.03.21,胃癌,
TCM001299,A16.03.22,肝癌,
TCM001300,A16.03.23,胆癌,
TCM001301,A16.03.24,胰癌,
TCM001302,A16.03.25,肾癌,
TCM001303,A16.03.26,膀胱癌,
TCM001304,A16.03.27,尿道癌,输尿管癌
TCM001305,A16.03.28,肠癌,
TCM001306,A16.03.29,锁肛痔,
TCM001307,A16.03.30,子岩,子癌
TCM001308,A16.03.31,肾岩翻花,肾癌翻花|阴茎癌
TCM001309,A16.03.32,外阴癌,
TCM001310,A16.03.33,阴道癌,
TCM001311,A16.03.34,宫颈癌,
TCM001312,A16.03.35,子宫内膜癌,
TCM001313,A16.03.36,输卵管癌,
TCM001314,A16.03.37,卵巢恶性肿瘤,
TCM001317,A17.01,发热,
TCM001318,A17.02,抽搐,
TCM001319,A17.03,谵语,
TCM001320,A17.04,郑声,
TCM001321,A17.05,错语,
TCM001322,A17.06,头痛,
TCM001323,A17.07,眩晕,
TCM001324,A17.08,晕厥,
TCM001325,A17.09,昏迷,神昏
TCM001326,A17.10,烦躁,
TCM001327,A17.11,失眠,
TCM001328,A17.12,健忘,
TCM001329,A17.13,嗜睡,
TCM001330,A17.14,目盲,
TCM001331,A17.15,耳鸣,
TCM001332,A17.16,耳聋,
TCM001333,A17.17,鼻衄,
TCM001334,A17.18,牙痛,
TCM001335,A17.19,齿衄,牙衄
TCM001336,A17.20,失音,
TCM001337,A17.21,咯血,
TCM001338,A17.22,咳嗽,咳逆
TCM001339,A17.23,气喘,喘促
TCM001340,A17.24,咳血,
TCM001341,A17.25,胸痛,
TCM001342,A17.26,心悸,
TCM001343,A17.27,心痛,
TCM001344,A17.28,呕吐,
TCM001345,A17.28.01,干呕,
TCM001346,A17.28.02,暴吐,
TCM001347,A17.29,呕血,吐血
TCM001348,A17.30,胃痛,胃脘痛|脘痛
TCM001349,A17.31,脘痞,
TCM001350,A17.32,嘈杂,
TCM001351,A17.33,胁痛,
TCM001352,A17.34,黄疸,
TCM001353,A17.35,吐酸,吞酸|泛酸|噫酸
TCM001354,A17.36,腹痛,
TCM001355,A17.37,腹胀,腹满
TCM001356,A17.38,腹泻,
TCM001357,A17.39,腹水,
TCM001358,A17.40,便秘,
TCM001359,A17.41,便血,
TCM001360,A17.42,腰痛,
TCM001361,A17.43,尿血,
TCM001362,A17.44,尿浊,
TCM001363,A17.45,水肿,
TCM001364,A17.46,关节痛,
TCM001365,A17.47,瘫痪,
TCM001366,A17.48,震颤,
TCM001367,A17.49,紫斑,肌衄
TCM001368,A17.50,出疹,
